row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1309,0.26944242212110603,5,-3.0981383751559855e-20,0,-3.0978957932364285e-20,0,-1,-1,false,true,false
1310,0.26944726736336816,5,-3.2240950457595963e-20,0,-3.2229337080753134e-20,0,-1,-1,false,true,false
1311,0.26945211260563029,5,-3.3500953091227906e-20,0,-3.3480147738219935e-20,0,-1,-1,false,true,false
1312,0.26945695784789242,5,-3.4761390584697134e-20,0,-3.4731388850872246e-20,0,-1,-1,false,true,false
1313,0.26946180309015449,5,-3.6022261875307339e-20,0,-3.5983059369849295e-20,0,-1,-1,false,true,false
1314,0.26946664833241663,5,-3.728356590553121e-20,0,-3.7235158251425805e-20,0,-1,-1,false,true,false
1315,0.26947149357467876,5,-3.8545301622853272e-20,0,-3.8487684456858342e-20,0,-1,-1,false,true,false
1316,0.26947633881694083,5,-3.980746797984367e-20,0,-3.974063695245674e-20,0,-1,-1,false,true,false
1317,0.26948118405920296,5,-4.1070063934160363e-20,0,-4.0994014709587481e-20,0,-1,-1,false,true,false
1318,0.26948602930146509,5,-4.2333088448462537e-20,0,-4.2247816704586384e-20,0,-1,-1,false,true,false
1319,0.26949087454372717,5,-4.3596540490430119e-20,0,-4.350204191877929e-20,0,-1,-1,false,true,false
1320,0.2694957197859893,5,-4.4860419032812712e-20,0,-4.4756689338529555e-20,0,-1,-1,false,true,false
1321,0.26950056502825143,5,-4.6124723053300054e-20,0,-4.6011757955110364e-20,0,-1,-1,false,true,false
1322,0.2695054102705135,5,-4.7389451534586185e-20,0,-4.7267246764767373e-20,0,-1,-1,false,true,false
1323,0.26951025551277563,5,-4.8654603464374292e-20,0,-4.8523154768724369e-20,0,-1,-1,false,true,false
1324,0.26951510075503776,5,-4.9920177835283781e-20,0,-4.9779480973090537e-20,0,-1,-1,false,true,false
1325,0.26951994599729989,5,-5.118617364490519e-20,0,-5.1036224388915349e-20,0,-1,-1,false,true,false
1326,0.26952479123956197,5,-5.2452589895738867e-20,0,-5.2293384032126471e-20,0,-1,-1,false,true,false
1327,0.2695296364818241,5,-5.3719425595259138e-20,0,-5.3550958923595619e-20,0,-1,-1,false,true,false
1328,0.26953448172408623,5,-5.4986679755796773e-20,0,-5.4808948089019268e-20,0,-1,-1,false,true,false
1329,0.2695393269663483,5,-5.6254351394594414e-20,0,-5.6067350558975772e-20,0,-1,-1,false,true,false
1330,0.26954417220861043,5,-5.7522439533796617e-20,0,-5.7326165368914252e-20,0,-1,-1,false,true,false
1331,0.26954901745087256,5,-5.8790943200397418e-20,0,-5.858539155910312e-20,0,-1,-1,false,true,false
1332,0.26955386269313464,5,-6.0059861426240657e-20,0,-5.9845028174629548e-20,0,-1,-1,false,true,false
1333,0.26955870793539677,5,-6.1329193248051902e-20,0,-6.1105074265432293e-20,0,-1,-1,false,true,false
1334,0.2695635531776589,5,-6.259893770735758e-20,0,-6.2365528886220957e-20,0,-1,-1,false,true,false
1335,0.26956839841992097,5,-6.3869093850488834e-20,0,-6.3626391096478593e-20,0,-1,-1,false,false,false
1336,0.2695732436621831,5,-6.5139660728628032e-20,0,-6.4887659960509999e-20,0,-1,-1,false,false,false
1337,0.26957808890444523,5,-6.6410637397715468e-20,0,-6.6149334547347268e-20,0,-1,-1,false,false,false
1338,0.26958293414670731,5,-6.768202291847377e-20,0,-6.741141393077495e-20,0,-1,-1,false,false,false
1339,0.26958777938896944,5,-6.895381635642997e-20,0,-6.8673897189352122e-20,0,-1,-1,false,false,false
1340,0.26959262463123157,5,-7.0226016781821732e-20,0,-6.9936783406317172e-20,0,-1,-1,false,false,false
1341,0.2695974698734937,5,-7.1498623269643583e-20,0,-7.1200071669637128e-20,0,-1,-1,false,false,false
1342,0.26960231511575578,5,-7.2771634899613938e-20,0,-7.2463761071972183e-20,0,-1,-1,false,false,false
1343,0.26960716035801791,5,-7.4045050756210027e-20,0,-7.3727850710711798e-20,0,-1,-1,false,false,false
1344,0.26961200560028004,5,-7.5318869928567593e-20,0,-7.4992339687873199e-20,0,-1,-1,false,false,false
1345,0.26961685084254211,5,-7.6593091510512174e-20,0,-7.6257227110135173e-20,0,-1,-1,false,false,false
